split_mode,split_label,dataset_rows,model,stage,stage_label,feature_count,macro_f1_mean,macro_f1_ci95_half_width,balanced_accuracy_mean,reachable_macro_f1_mean,reachable_macro_f1_ci95_half_width,reachable_test_rows_mean,log_loss_mean,fit_seconds_mean,inference_seconds_mean
grouped,"Known robots, new cases",5000,MLP-24,baseline,Baseline,108,0.8430590707001707,0.005784765961728631,0.8596224301232063,0.7953875610016897,0.00940754497662885,488.6666666666667,0.3872414924388255,0.4367381701692163,0.0003690104155490796
grouped,"Known robots, new cases",5000,MLP-24,context_10,+10 difficulty/reach,118,0.8861601079483047,0.008992175542197056,0.8965386104892975,0.8303109600839494,0.013087767211963313,488.6666666666667,0.2677897704582037,0.5107059306610608,0.0003755240807853018
grouped,"Known robots, new cases",5000,MLP-24,context_20,+20 geometry/state,128,0.8863266263443402,0.007575976471427947,0.8962839727175251,0.8335055300825039,0.010837334518156983,488.6666666666667,0.28363525905622883,0.5526387637364678,0.00041136457002721727
grouped,"Known robots, new cases",5000,MLP-24,context_22,+22 full context,130,0.8861054165103285,0.007188006825425659,0.8964225381246474,0.8319740644027586,0.009911406916736452,488.6666666666667,0.27694500104396963,0.44902332992448163,0.0003933159896405414
grouped,"Known robots, new cases",6000,Logistic regression,baseline,Baseline,108,0.6270408861338329,0.007373166444213786,0.6817851808494516,0.7193985368985745,0.009463046405137166,580.5833333333334,0.7483561161112521,0.023846666658452403,0.0003215209095894049
grouped,"Known robots, new cases",6000,Logistic regression,context_10,+10 difficulty/reach,118,0.8074799804404061,0.006411878537596469,0.820593535327219,0.7076948754126691,0.007746839738351611,580.5833333333334,0.4533941931205439,0.07553853825568997,0.0003289444139227271
grouped,"Known robots, new cases",6000,Logistic regression,context_20,+20 geometry/state,128,0.8113372805797302,0.006985904671661512,0.8230222707718419,0.724609048708444,0.009260514511490075,580.5833333333334,0.4423058331052234,0.08954734383830025,0.00034176017409966636
grouped,"Known robots, new cases",6000,Logistic regression,context_22,+22 full context,130,0.8519220254453592,0.007065457233466817,0.8677537185596581,0.7618145790886054,0.010084757564283654,580.5833333333334,0.3423199423038286,0.09318745842028875,0.00036175708131243783
grouped,"Known robots, new cases",6000,MLP-24,baseline,Baseline,108,0.849903620480119,0.007303159759142763,0.8673607083307867,0.7990702007495356,0.009392600451544428,580.5833333333334,0.3801226576242511,0.5252645555883646,0.0003990972424314047
grouped,"Known robots, new cases",6000,MLP-24,context_10,+10 difficulty/reach,118,0.8908301795195802,0.008064129160272063,0.9018276334504994,0.8362332301658943,0.01275138970695411,580.5833333333334,0.26036773226662946,0.6526243924211789,0.00040896165592130274
grouped,"Known robots, new cases",6000,MLP-24,context_20,+20 geometry/state,128,0.8921814265437783,0.010097244916637263,0.9005634245691247,0.8411289034838682,0.015794760779132336,580.5833333333334,0.26929062571768475,0.53909844783387,0.00041603467252571136
